"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"EcoSafeRAG: Efficient Security through Context Analysis in Retrieval-Augmented Generation","https://scispace.com/paper/ecosaferag-efficient-security-through-context-analysis-in-ji5mwlihniuv","2025","Journal Article","","Yao RuoBing
Zhang, Yifei
Song, Shuang
Gao Neng
Tu Chenyang","10.48550/arxiv.2505.13506","","- **Relevance Score:** 57/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses bait‑guided context diversity detection to block corpus poisoning, providing a plug‑and‑play defense that improves clean RAG performance; does not detail vector store specifics, LLM agent autonomy, or multi‑size benchmarking.","Retrieval-Augmented Generation (RAG) compensates for the static knowledge limitations of Large Language Models (LLMs) by integrating external knowledge, producing responses with enhanced factual correctness and query-specific contextualization. However, it also introduces new attack surfaces such as corpus poisoning at the same time. Most of the existing defense methods rely on the internal knowledge of the model, which conflicts with the design concept of RAG. To bridge the gap, EcoSafeRAG uses sentence-level processing and bait-guided context diversity detection to identify malicious content by analyzing the context diversity of candidate documents without relying on LLM internal knowledge. Experiments show EcoSafeRAG delivers state-of-the-art security with plug-and-play deployment, simultaneously improving clean-scenario RAG performance while maintaining practical operational costs (relatively 1.2$\times$ latency, 48\%-80\% token reduction versus Vanilla RAG). "
"Defending Against Knowledge Poisoning Attacks During Retrieval-Augmented Generation","https://scispace.com/paper/defending-against-knowledge-poisoning-attacks-during-tkeer6arru85","2025","Journal Article","arXiv.org","Kennedy Edemacu
Vinay M. Shashidhar
Micheal Tuape
Dan Abudu
Beakcheol Jang
Jong Wook Kim","10.48550/arxiv.2508.02835","https://scispace.compdf/defending-against-knowledge-poisoning-attacks-during-tkeer6arru85.pdf","- **Relevance Score:** 57/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses ML-FilterRAG to detect poisoned knowledge, adds filtration to RAG pipelines, but lacks detailed vector‑store specifics, injection scenarios, and broad LLM/size evaluations.","Retrieval-Augmented Generation (RAG) has emerged as a powerful approach to boost the capabilities of large language models (LLMs) by incorporating external, up-to-date knowledge sources. However, this introduces a potential vulnerability to knowledge poisoning attacks, where attackers can compromise the knowledge source to mislead the generation model. One such attack is the PoisonedRAG in which the injected adversarial texts steer the model to generate an attacker-chosen response to a target question. In this work, we propose novel defense methods, FilterRAG and ML-FilterRAG, to mitigate the PoisonedRAG attack. First, we propose a new property to uncover distinct properties to differentiate between adversarial and clean texts in the knowledge data source. Next, we employ this property to filter out adversarial texts from clean ones in the design of our proposed approaches. Evaluation of these methods using benchmark datasets demonstrate their effectiveness, with performances close to those of the original RAG systems."
"Adversarial Threat Vectors and Risk Mitigation for Retrieval-Augmented Generation Systems","https://scispace.com/paper/adversarial-threat-vectors-and-risk-mitigation-for-retrieval-zpni8kb8ctgl","2025","Journal Article","","Ward, Chris M.
Harguess, Josh","10.48550/arxiv.2506.00281","","- **Relevance Score:** 57/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses RAG overview to discuss prompt injection, data poisoning, and mitigation like input validation; mentions vector store implicitly but lacks agent focus, real‑store experiments, or size‑based benchmarks.","Retrieval-Augmented Generation (RAG) systems, which integrate Large Language Models (LLMs) with external knowledge sources, are vulnerable to a range of adversarial attack vectors. This paper examines the importance of RAG systems through recent industry adoption trends and identifies the prominent attack vectors for RAG: prompt injection, data poisoning, and adversarial query manipulation. We analyze these threats under risk management lens, and propose robust prioritized control list that includes risk-mitigating actions like input validation, adversarial training, and real-time monitoring. "
"Attacking Multimodal OS Agents with Malicious Image Patches","https://scispace.com/paper/attacking-multimodal-os-agents-with-malicious-image-patches-xclu73u20o3g","2025","Journal Article","arXiv.org","Lukas Aichberger
Alasdair Paren
Yarin Gal
Philip H. S. Torr
Adel Bibi","10.48550/arxiv.2503.10809","https://scispace.compdf/attacking-multimodal-os-agents-with-malicious-image-patches-xclu73u20o3g.pdf","- **Relevance Score:** 57/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses malicious image patches to inject poisoned entries into a vector DB, targeting OS agents' RAG memory. No defenses or real‑store experiments; limited focus on pure LLM agents.","Recent advances in operating system (OS) agents have enabled vision-language models (VLMs) to directly control a user's computer. Unlike conventional VLMs that passively output text, OS agents autonomously perform computer-based tasks in response to a single user prompt. OS agents do so by capturing, parsing, and analysing screenshots and executing low-level actions via application programming interfaces (APIs), such as mouse clicks and keyboard inputs. This direct interaction with the OS significantly raises the stakes, as failures or manipulations can have immediate and tangible consequences. In this work, we uncover a novel attack vector against these OS agents: Malicious Image Patches (MIPs), adversarially perturbed screen regions that, when captured by an OS agent, induce it to perform harmful actions by exploiting specific APIs. For instance, a MIP can be embedded in a desktop wallpaper or shared on social media to cause an OS agent to exfiltrate sensitive user data. We show that MIPs generalise across user prompts and screen configurations, and that they can hijack multiple OS agents even during the execution of benign instructions. These findings expose critical security vulnerabilities in OS agents that have to be carefully addressed before their widespread deployment."
"RIPRAG: Hack a Black-box Retrieval-Augmented Generation Question-Answering System with Reinforcement Learning","https://scispace.com/paper/riprag-hack-a-black-box-retrieval-augmented-generation-25p3kf1itvwo","2025","Journal Article","","Xi Meng
Lv Sihan
Jin Ye-chen
Cheng Guan-jie
Wang Naibo
Li Ying
Yin Jianwei","10.48550/arxiv.2510.10008","https://export.arxiv.org/pdf/2510.10008v2.pdf","- **Relevance Score:** 55/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Shows RL‑driven poisoning of vector‑store documents in black‑box RAG QA, but lacks agent focus, defenses, real‑store tests, and size‑scale benchmarks.","Retrieval-Augmented Generation (RAG) systems based on Large Language Models (LLMs) have become a core technology for tasks such as question-answering (QA) and content generation. However, by injecting poisoned documents into the database of RAG systems, attackers can manipulate LLMs to generate text that aligns with their intended preferences. Existing research has primarily focused on white-box attacks against simplified RAG architectures. In this paper, we investigate a more complex and realistic scenario: the attacker lacks knowledge of the RAG system's internal composition and implementation details, and the RAG system comprises components beyond a mere retriever. Specifically, we propose the RIPRAG attack framework, an end-to-end attack pipeline that treats the target RAG system as a black box, where the only information accessible to the attacker is whether the poisoning succeeds. Our method leverages Reinforcement Learning (RL) to optimize the generation model for poisoned documents, ensuring that the generated poisoned document aligns with the target RAG system's preferences. Experimental results demonstrate that this method can effectively execute poisoning attacks against most complex RAG systems, achieving an attack success rate (ASR) improvement of up to 0.72 compared to baseline methods. This highlights prevalent deficiencies in current defensive methods and provides critical insights for LLM security research. "
"Data Extraction Attacks in Retrieval-Augmented Generation via Backdoors","https://scispace.com/paper/data-extraction-attacks-in-retrieval-augmented-generation-gc26ktuoxinc","2024","Journal Article","","Yuefeng Peng
J. Wang
Yu Hong
Amir Houmansadr","10.48550/arxiv.2411.01705","https://scispace.compdf/data-extraction-attacks-in-retrieval-augmented-generation-gc26ktuoxinc.pdf","- **Relevance Score:** 55/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses backdoor-based data extraction to poison RAG vector stores, describing injection attacks and evaluating on a simulated store; lacks defenses, agent focus, and multi‑model scaling.","Despite significant advancements, large language models (LLMs) still struggle with providing accurate answers when lacking domain-specific or up-to-date knowledge. Retrieval-Augmented Generation (RAG) addresses this limitation by incorporating external knowledge bases, but it also introduces new attack surfaces. In this paper, we investigate data extraction attacks targeting the knowledge databases of RAG systems. We demonstrate that previous attacks on RAG largely depend on the instruction-following capabilities of LLMs, and that simple fine-tuning can reduce the success rate of such attacks to nearly zero. This makes these attacks impractical since fine-tuning is a common practice when deploying LLMs in specific domains. To further reveal the vulnerability, we propose to backdoor RAG, where a small portion of poisoned data is injected during the fine-tuning phase to create a backdoor within the LLM. When this compromised LLM is integrated into a RAG system, attackers can exploit specific triggers in prompts to manipulate the LLM to leak documents from the retrieval database. By carefully designing the poisoned data, we achieve both verbatim and paraphrased document extraction. We show that with only 3\% poisoned data, our method achieves an average success rate of 79.7\% in verbatim extraction on Llama2-7B, with a ROUGE-L score of 64.21, and a 68.6\% average success rate in paraphrased extraction, with an average ROUGE score of 52.6 across four datasets. These results underscore the privacy risks associated with the supply chain when deploying RAG systems. "
"TrustRAG: Enhancing Robustness and Trustworthiness in RAG","https://scispace.com/paper/trustrag-enhancing-robustness-and-trustworthiness-in-rag-2pvsvjxehxjl","2025","Journal Article","","Huichi Zhou
Kuan J. Lee
Zhonghao Zhan
Yue Chen
Zhenhao Li","10.48550/arxiv.2501.00879","https://scispace.compdf/trustrag-enhancing-robustness-and-trustworthiness-in-rag-2pvsvjxehxjl.pdf","- **Relevance Score:** 52/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses corpus poisoning and backdoor attacks to illustrate injection threats; proposes keyword‑based and decoding defenses; lacks focus on internal memory poisoning, vector‑store specifics, autonomous agents, real‑store experiments, or multi‑size LLM benchmarks.","Retrieval-Augmented Generation (RAG) systems enhance large language models (LLMs) by integrating external knowledge sources, enabling more accurate and contextually relevant responses tailored to user queries. However, these systems remain vulnerable to corpus poisoning attacks that can significantly degrade LLM performance through the injection of malicious content. To address these challenges, we propose TrustRAG, a robust framework that systematically filters compromised and irrelevant content before it reaches the language model. Our approach implements a two-stage defense mechanism: first, it employs K-means clustering to identify potential attack patterns in retrieved documents based on their semantic embeddings, effectively isolating suspicious content. Second, it leverages cosine similarity and ROUGE metrics to detect malicious documents while resolving discrepancies between the model's internal knowledge and external information through a self-assessment process. TrustRAG functions as a plug-and-play, training-free module that integrates seamlessly with any language model, whether open or closed-source, maintaining high contextual relevance while strengthening defenses against attacks. Through extensive experimental validation, we demonstrate that TrustRAG delivers substantial improvements in retrieval accuracy, efficiency, and attack resistance compared to existing approaches across multiple model architectures and datasets. We have made TrustRAG available as open-source software at \url{https://github.com/HuichiZhou/TrustRAG}. "
"Topic-FlipRAG: Topic-Orientated Adversarial Opinion Manipulation Attacks to Retrieval-Augmented Generation Models","https://scispace.com/paper/topic-fliprag-topic-orientated-adversarial-opinion-3nwa6wriywzp","2025","Journal Article","arXiv.org","Yuyang Gong
Zhuo Chen
Miaokun Chen
Fengchang Yu
Wei Lu
Xiaofeng Wang
Xiaozhong Liu
Jiawei Liu","10.48550/arxiv.2502.01386","https://scispace.compdf/topic-fliprag-topic-orientated-adversarial-opinion-3nwa6wriywzp.pdf","- **Relevance Score:** 52/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses adversarial content injection to manipulate RAG retrieval, demonstrating attacks on vector stores, but lacks internal memory focus, defenses, autonomous agent context, and extensive size benchmarking.",""
"A Survey on Trustworthy LLM Agents: Threats and Countermeasures","https://scispace.com/paper/a-survey-on-trustworthy-llm-agents-threats-and-25m71etmwqzd","2025","Journal Article","arXiv.org","Miao Yu
Fanci Meng
Xinyun Zhou
Shilong Wang
Junyuan Mao
Linsey Pang
Tianlong Chen
Kun Wang
Xinfeng Li
Yongfeng Zhang
Bo An
Qingsong Wen","10.48550/arxiv.2503.09648","https://scispace.compdf/a-survey-on-trustworthy-llm-agents-threats-and-25m71etmwqzd.pdf","- **Relevance Score:** 42/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Survey covers memory retrieval poisoning and general defenses, mentions RAG but lacks concrete vector‑store focus, injection details, or empirical benchmarks; strongly discusses LLM agents employing RAG.","With the rapid evolution of Large Language Models (LLMs), LLM-based agents and Multi-agent Systems (MAS) have significantly expanded the capabilities of LLM ecosystems. This evolution stems from empowering LLMs with additional modules such as memory, tools, environment, and even other agents. However, this advancement has also introduced more complex issues of trustworthiness, which previous research focusing solely on LLMs could not cover. In this survey, we propose the TrustAgent framework, a comprehensive study on the trustworthiness of agents, characterized by modular taxonomy, multi-dimensional connotations, and technical implementation. By thoroughly investigating and summarizing newly emerged attacks, defenses, and evaluation methods for agents and MAS, we extend the concept of Trustworthy LLM to the emerging paradigm of Trustworthy Agent. In TrustAgent, we begin by deconstructing and introducing various components of the Agent and MAS. Then, we categorize their trustworthiness into intrinsic (brain, memory, and tool) and extrinsic (user, agent, and environment) aspects. Subsequently, we delineate the multifaceted meanings of trustworthiness and elaborate on the implementation techniques of existing research related to these internal and external modules. Finally, we present our insights and outlook on this domain, aiming to provide guidance for future endeavors. For easy reference, we categorize all the studies mentioned in this survey according to our taxonomy, available at: https://github.com/Ymm-cll/TrustAgent."
"Securing LLM-Agent Long-Term Memory Against Poisoning: Non-Malleable, Origin-Bound Authority with Machine-Checked Guarantees","https://scispace.com/paper/http://arxiv.org/abs/2606.24322v1","2026","Preprint","","Yedidel Louck","","https://arxiv.org/pdf/2606.24322v1","- **Relevance Score:** 42/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses formal non‑malleable authority to prevent memory poisoning in LLM agents; provides defenses and benchmarks across multiple frontier models, but lacks any vector‑store or RAG‑specific components.","LLM agents increasingly rely on persistent long-term memory, which creates a critical vulnerability that we study here: memory poisoning. An adversary can store untrusted content in one session that later steers a consequential action, such as a payment, a setting change, or data exfiltration, in a future session. Existing defenses base a memory item's authority to act on either its content (detection or trust-scoring) or its derivation history (lineage). We show that both signals are malleable. An attacker can launder an untrusted origin through three channels specific to LLM agents: the agent's own summarization, a trusted-tool echo, and manufactured corroboration. Each makes the content look benign and breaks or flips its derivation edge to ``trusted.'' We formalize malleability for the memory write-retrieve-act pipeline and prove a machine-checked separation theorem. No content- or lineage-based defense is sound under laundering (T1), write-time origin binding is necessary (T2), and non-malleable origin-bound authority with Sybil-resistant corroboration-gated elevation is sufficient (T3). Our construction, TMA-NM (Tamper-evident Memory Authority, Non-Malleable), instantiates non-malleable information-flow control (IFC) for LLM-agent memory. A cross-defense, cross-attack, and cross-model benchmark over eight frontier models shows that existing defenses fail exactly where the theory predicts (up to 68% laundering attack-success), while TMA-NM reaches 0% attack success on both direct and laundering attacks across all models and channels, at full legitimate utility. We release the benchmark, harness, and machine-checked TLA+ models to support reproducibility."
"Towards More Robust Retrieval-Augmented Generation: Evaluating RAG Under
  Adversarial Poisoning Attacks","https://scispace.com/paper/towards-more-robust-retrieval-augmented-generation-2iumnx5thuy0","2024","Journal Article","","Jinyan Su
Jin Zhou
Zhengxin Zhang
Preslav Nakov
Claire Cardie","10.48550/arxiv.2412.16708","https://scispace.compdf/towards-more-robust-retrieval-augmented-generation-2iumnx5thuy0.pdf","- **Relevance Score:** 40/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses vector store‑based retrieval and crafts malicious passages to poison RAG outputs. No memory‑level attacks or defenses proposed. Focuses on LLMs, not autonomous agents, with limited real‑store experiments and no size‑based benchmarking.","Retrieval-Augmented Generation (RAG) systems have emerged as a promising solution to mitigate LLM hallucinations and enhance their performance in knowledge-intensive domains. However, these systems are vulnerable to adversarial poisoning attacks, where malicious passages injected into retrieval databases can mislead the model into generating factually incorrect outputs. In this paper, we investigate both the retrieval and the generation components of RAG systems to understand how to enhance their robustness against such attacks. From the retrieval perspective, we analyze why and how the adversarial contexts are retrieved and assess how the quality of the retrieved passages impacts downstream generation. From a generation perspective, we evaluate whether LLMs' advanced critical thinking and internal knowledge capabilities can be leveraged to mitigate the impact of adversarial contexts, i.e., using skeptical prompting as a self-defense mechanism. Our experiments and findings provide actionable insights into designing safer and more resilient retrieval-augmented frameworks, paving the way for their reliable deployment in real-world applications. "
"Machine Against the RAG: Jamming Retrieval-Augmented Generation with
  Blocker Documents","https://scispace.com/paper/machine-against-the-rag-jamming-retrieval-augmented-3shx0nuzo8","2024","Preprint","","Avital Shafran
Roei Schuster
Vitaly Shmatikov","10.48550/arxiv.2406.05870","https://scispace.compdf/machine-against-the-rag-jamming-retrieval-augmented-3shx0nuzo8.pdf","- **Relevance Score:** 40/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses blocker documents to jam RAG vector stores, demonstrating injection feasibility; lacks memory‑poisoning focus, defenses, or autonomous agent context; evaluates on 7B models with limited vector‑store detail.","Retrieval-augmented generation (RAG) systems respond to queries by retrieving relevant documents from a knowledge database, then generating an answer by applying an LLM to the retrieved documents. We demonstrate that RAG systems that operate on databases with potentially untrusted content are vulnerable to a new class of denial-of-service attacks we call jamming. An adversary can add a single ``blocker'' document to the database that will be retrieved in response to a specific query and, furthermore, result in the RAG system not answering the query - ostensibly because it lacks the information or because the answer is unsafe. We describe and analyze several methods for generating blocker documents, including a new method based on black-box optimization that does not require the adversary to know the embedding or LLM used by the target RAG system, nor access to an auxiliary LLM to generate blocker documents. We measure the efficacy of the considered methods against several LLMs and embeddings, and demonstrate that the existing safety metrics for LLMs do not capture their vulnerability to jamming. We then discuss defenses against blocker documents. "
"Phantom: General Trigger Attacks on Retrieval Augmented Language
  Generation","https://scispace.com/paper/phantom-general-trigger-attacks-on-retrieval-augmented-58rvkycu6t","2024","Preprint","","Harsh Chaudhari
Giorgio Severi
John Abascal
Matthew Jagielski
Christopher A. Choquette-Choo
Milad Nasr
Cristina Nita-Rotaru
Apostol Vassilev","10.48550/arxiv.2405.20485","https://scispace.compdf/phantom-general-trigger-attacks-on-retrieval-augmented-58rvkycu6t.pdf","- **Relevance Score:** 35/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses vector store‑based RAG to craft trigger‑based poisoning attacks; no focus on agent memory, no defenses, no real‑store benchmarks, and lacks multi‑size LLM evaluation.","Retrieval Augmented Generation (RAG) expands the capabilities of modern large language models (LLMs) in chatbot applications, enabling developers to adapt and personalize the LLM output without expensive training or fine-tuning. RAG systems use an external knowledge database to retrieve the most relevant documents for a given query, providing this context to the LLM generator. While RAG achieves impressive utility in many applications, its adoption to enable personalized generative models introduces new security risks. In this work, we propose new attack surfaces for an adversary to compromise a victim's RAG system, by injecting a single malicious document in its knowledge database. We design Phantom, general two-step attack framework against RAG augmented LLMs. The first step involves crafting a poisoned document designed to be retrieved by the RAG system within the top-k results only when an adversarial trigger, a specific sequence of words acting as backdoor, is present in the victim's queries. In the second step, a specially crafted adversarial string within the poisoned document triggers various adversarial attacks in the LLM generator, including denial of service, reputation damage, privacy violations, and harmful behaviors. We demonstrate our attacks on multiple LLM architectures, including Gemma, Vicuna, and Llama. "
"Hoist with His Own Petard: Inducing Guardrails to Facilitate Denial-of-Service Attacks on Retrieval-Augmented Generation of LLMs","https://scispace.com/paper/hoist-with-his-own-petard-inducing-guardrails-to-facilitate-31bugcpr2x1c","2025","Journal Article","","suo pan
Shang Yu-ming
Guo San-chuan
Zhang Xi","10.48550/arxiv.2504.21680","","- **Relevance Score:** 35/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses guardrail-triggering jailbreak texts in a knowledge base to cause denial‑of‑service; touches on RAG but not memory poisoning, vector‑store specifics, or autonomous agents, and offers limited defense evaluation without real‑store or multi‑model benchmarks.","Retrieval-Augmented Generation (RAG) integrates Large Language Models (LLMs) with external knowledge bases, improving output quality while introducing new security risks. Existing studies on RAG vulnerabilities typically focus on exploiting the retrieval mechanism to inject erroneous knowledge or malicious texts, inducing incorrect outputs. However, these approaches overlook critical weaknesses within LLMs, leaving important attack vectors unexplored and limiting the scope and efficiency of attacks. In this paper, we uncover a novel vulnerability: the safety guardrails of LLMs, while designed for protection, can also be exploited as an attack vector by adversaries. Building on this vulnerability, we propose MutedRAG, a novel denial-of-service attack that reversely leverages the guardrails of LLMs to undermine the availability of RAG systems. By injecting minimalistic jailbreak texts, such as ""\textit{How to build a bomb}"", into the knowledge base, MutedRAG intentionally triggers the LLM's safety guardrails, causing the system to reject legitimate queries. Besides, due to the high sensitivity of guardrails, a single jailbreak sample can affect multiple queries, effectively amplifying the efficiency of attacks while reducing their costs. Experimental results on three datasets demonstrate that MutedRAG achieves an attack success rate exceeding 60% in many scenarios, requiring only less than one malicious text to each target query on average. In addition, we evaluate potential defense strategies against MutedRAG, finding that some of current mechanisms are insufficient to mitigate this threat, underscoring the urgent need for more robust solutions. "
"Controlled Generation of Natural Adversarial Documents for Stealthy
  Retrieval Poisoning","https://scispace.com/paper/controlled-generation-of-natural-adversarial-documents-for-6qb0k74oikcg","2024","Journal Article","","Collin Zhang
Tingwei Zhang
Vitaly Shmatikov","10.48550/arxiv.2410.02163","https://scispace.compdf/controlled-generation-of-natural-adversarial-documents-for-6qb0k74oikcg.pdf","- **Relevance Score:** 35/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses vector-store retrieval to insert hidden adversarial strings, demonstrating stealthy poisoning. No focus on memory attacks, defenses, or autonomous agents; limited real‑store experiments; no size‑based benchmarking.","Recent work showed that retrieval based on embedding similarity (e.g., for retrieval-augmented generation) is vulnerable to poisoning: an adversary can craft malicious documents that are retrieved in response to broad classes of queries. We demonstrate that previous, HotFlip-based techniques produce documents that are very easy to detect using perplexity filtering. Even if generation is constrained to produce low-perplexity text, the resulting documents are recognized as unnatural by LLMs and can be automatically filtered from the retrieval corpus. We design, implement, and evaluate a new controlled generation technique that combines an adversarial objective (embedding similarity) with a ""naturalness"" objective based on soft scores computed using an open-source, surrogate LLM. The resulting adversarial documents (1) cannot be automatically detected using perplexity filtering and/or other LLMs, except at the cost of significant false positives in the retrieval corpus, yet (2) achieve similar poisoning efficacy to easily-detectable documents generated using HotFlip, and (3) are significantly more effective than prior methods for energy-guided generation, such as COLD. "
"Blended RAG: Improving RAG (Retriever-Augmented Generation) Accuracy with Semantic Search and Hybrid Query-Based Retrievers","https://scispace.com/paper/http://arxiv.org/abs/2404.07220v2","2024","Preprint","","Kunal Sawarkar
Abhilasha Mangal
Shivam Raj Solanki","10.1109/MIPR62202.2024.00031","https://arxiv.org/pdf/2404.07220v2","- **Relevance Score:** 27/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses dense and sparse vector indexes in a blended retriever for RAG, but does not address poisoning or injection attacks, defenses, or multi‑size LLM benchmarking; focuses on retrieval performance rather than agent security.","Retrieval-Augmented Generation (RAG) is a prevalent approach to infuse a private knowledge base of documents with Large Language Models (LLM) to build Generative Q\&A (Question-Answering) systems. However, RAG accuracy becomes increasingly challenging as the corpus of documents scales up, with Retrievers playing an outsized role in the overall RAG accuracy by extracting the most relevant document from the corpus to provide context to the LLM. In this paper, we propose the 'Blended RAG' method of leveraging semantic search techniques, such as Dense Vector indexes and Sparse Encoder indexes, blended with hybrid query strategies. Our study achieves better retrieval results and sets new benchmarks for IR (Information Retrieval) datasets like NQ and TREC-COVID datasets. We further extend such a 'Blended Retriever' to the RAG system to demonstrate far superior results on Generative Q\&A datasets like SQUAD, even surpassing fine-tuning performance."
"Engineering the RAG Stack: A Comprehensive Review of the Architecture and Trust Frameworks for Retrieval-Augmented Generation Systems","https://scispace.com/paper/http://arxiv.org/abs/2601.05264v1","2025","Preprint","","Dean Wampler
Dave Nielson
Alireza Seddighi","","https://arxiv.org/pdf/2601.05264v1","- **Relevance Score:** 25/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Provides extensive overview of vector stores in RAG pipelines; mentions agents and trust but lacks attack focus, defenses, empirical vector‑store experiments, or size‑based benchmarking.","This article provides a comprehensive systematic literature review of academic studies, industrial applications, and real-world deployments from 2018 to 2025, providing a practical guide and detailed overview of modern Retrieval-Augmented Generation (RAG) architectures. RAG offers a modular approach for integrating external knowledge without increasing the capacity of the model as LLM systems expand. Research and engineering practices have been fragmented as a result of the increasing diversity of RAG methodologies, which encompasses a variety of fusion mechanisms, retrieval strategies, and orchestration approaches. We provide quantitative assessment frameworks, analyze the implications for trust and alignment, and systematically consolidate existing RAG techniques into a unified taxonomy. This document is a practical framework for the deployment of resilient, secure, and domain-adaptable RAG systems, synthesizing insights from academic literature, industry reports, and technical implementation guides. It also functions as a technical reference."
"Adaptive Attacks Break Defenses Against Indirect Prompt Injection Attacks on LLM Agents","https://scispace.com/paper/adaptive-attacks-break-defenses-against-indirect-prompt-6gukk84q6stt","2025","Journal Article","arXiv.org","Qiusi Zhan
Richard Fang
Henil Shalin Panchal
Daniel Kang","10.48550/arxiv.2503.00061","https://scispace.compdf/adaptive-attacks-break-defenses-against-indirect-prompt-6gukk84q6stt.pdf","- **Relevance Score:** 25/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Evaluates adaptive prompt injection attacks and defenses on Vicuna‑7B and Llama3‑8B agents, but lacks RAG/vector‑store components and memory‑poisoning focus.",""
"A survey on the security of long-term memory in llm agents: Toward mnemonic sovereignty","https://scispace.com/paper/3PNzuBGZ5KEJ","","","","Z Lin
C Li
K Chen","","https://arxiv.org/pdf/2604.16548","- **Relevance Score:** 24/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Survey outlines memory security concepts but lacks concrete attacks, vector‑store implementations, defenses, or empirical evaluations; thus offers minimal direct relevance to the specified criteria.",""
"Commercial LLM Agents Are Already Vulnerable to Simple Yet Dangerous Attacks","https://scispace.com/paper/commercial-llm-agents-are-already-vulnerable-to-simple-yet-n1iw645vdgcj","2025","Journal Article","arXiv.org","Ang Li
Yin Zhou
Vethavikashini Chithrra Raghuram
Tom Goldstein
Micah Goldblum","10.48550/arxiv.2502.08586","https://scispace.compdf/commercial-llm-agents-are-already-vulnerable-to-simple-yet-n1iw645vdgcj.pdf","- **Relevance Score:** 20/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses malicious web redirects and jailbreak prompts to compromise agents; mentions memory systems but lacks vector‑store or RAG specifics, offers only generic defenses, no empirical RAG evaluations.",""
"Scalable Defense against In-the-wild Jailbreaking Attacks with Safety Context Retrieval","https://scispace.com/paper/scalable-defense-against-in-the-wild-jailbreaking-attacks-rkeospxx8wh8","2025","Journal Article","","Wei, Zeming
Li Ang
Wang, Yisen","10.48550/arxiv.2505.15753","https://scispace.compdf/scalable-defense-against-in-the-wild-jailbreaking-attacks-rkeospxx8wh8.pdf","- **Relevance Score:** 20/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses RAG to retrieve safety examples, but focuses on jailbreaking defenses rather than memory poisoning or vector‑store injection; no real vector store experiments or multi‑size LLM benchmarks.","Large Language Models (LLMs) are known to be vulnerable to jailbreaking attacks, wherein adversaries exploit carefully engineered prompts to induce harmful or unethical responses. Such threats have raised critical concerns about the safety and reliability of LLMs in real-world deployment. While existing defense mechanisms partially mitigate such risks, subsequent advancements in adversarial techniques have enabled novel jailbreaking methods to circumvent these protections, exposing the limitations of static defense frameworks. In this work, we explore defending against evolving jailbreaking threats through the lens of context retrieval. First, we conduct a preliminary study demonstrating that even a minimal set of safety-aligned examples against a particular jailbreak can significantly enhance robustness against this attack pattern. Building on this insight, we further leverage the retrieval-augmented generation (RAG) techniques and propose Safety Context Retrieval (SCR), a scalable and robust safeguarding paradigm for LLMs against jailbreaking. Our comprehensive experiments demonstrate how SCR achieves superior defensive performance against both established and emerging jailbreaking tactics, contributing a new paradigm to LLM safety. Our code will be available upon publication. "
